SampleID,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania
ZA.H5.E79,4.327522126,2.536551732,1.476920814,4.402982573,0.347676452,1.426234468,1.428661074,1.250683137,1.123330834,-0.502801969,0.363249499,-1.388467417,0.238209983,-1.845579191,0.409985289,-0.333548597,-3.079998236,-2.313571698,-2.531235702,0.880129295,-8.216934465
ZA.H7.E81,2.92876396,1.669661428,1.781937577,3.354087131,0.803646316,0.000206251,1.056175854,1.037581406,1.735772381,-0.313401962,-0.397492278,-1.586258876,-0.264514863,-1.16805406,1.666187342,-0.873123325,-1.551894839,-4.580535926,-1.782106971,0.271891061,-3.788527607
ZA.H8.E82,5.44667327,4.561787878,0.643425918,3.79139941,3.181735115,2.839566444,0.861945777,2.093568792,1.550386381,0.443493017,-0.087926229,-0.285011476,1.426865538,-5.380360155,-5.442515207,-4.999059343,0.431067966,1.349002324,-8.435609607,1.626810955,-5.617246768
ZA.H9.E83,2.207983488,0.793648198,2.234829694,3.237040981,2.559875587,1.032740468,1.512750336,1.145707734,2.092862454,2.126645258,0.079404624,-0.192433363,-5.113225104,0.89163943,-3.221114905,0.38329934,-3.024080749,-0.861719116,-3.729519675,1.486199805,-5.642534486
ZA.M1.E75,3.204651453,1.740014311,2.084542551,3.665509713,1.319677515,-0.780928096,1.118670551,0.594277857,0.835039184,1.117554066,-0.14894025,-1.559897668,-0.24913823,-0.238208935,0.244453253,-1.482868133,-2.432452069,-3.016314039,-1.388356341,-2.960149105,-1.667137588
ZA.M10.E84,3.44818857,2.133935862,2.041897153,-0.251423551,3.280861389,2.631188746,-1.26966469,0.708218794,-0.343407357,2.212978152,-0.422810449,-1.621964025,0.386523886,1.177909406,-1.884589407,-2.860629467,0.223192961,-1.310420849,-3.559599215,-3.306802307,-1.413583603
ZA.M11.E85,3.906787152,2.782851843,2.22516084,1.640200964,2.107360617,1.637606989,-0.682197214,1.484418342,1.699525874,0.704935484,-1.888963296,-1.060046093,-2.27135089,-0.253408347,-1.942871293,-0.492310596,-3.166828779,-3.052143015,-1.739891454,-1.050026921,-0.588810206
ZA.M13.E87,3.718881637,2.149216921,1.604732875,3.167323815,1.14286275,1.507704925,1.478879821,0.12784058,0.869409172,-0.375472171,-1.134215673,-0.524646879,-0.356592516,0.255384825,0.504299391,-1.147130734,-1.766435616,-3.220428693,-1.468754839,-4.27758396,-2.255275631
ZA.M16.E90,3.770051022,2.086658289,2.740284838,2.455500624,2.883229603,2.588920231,2.898278355,0.221849711,1.738084039,-1.615037521,-1.896339892,-2.601560987,-0.261106485,-2.524611213,1.801549276,-0.125564744,-1.368508682,-2.026425783,0.371880737,-7.615270758,-3.52186066
ZA.M18.E92,4.870202923,3.993214892,3.327713579,3.129246492,3.865604111,3.397518573,1.224599683,1.669466124,2.515895464,-1.032830107,-0.365368288,-1.528990009,-0.505434215,-0.98441002,0.085295384,1.005889013,-12.51302457,-0.096152904,-1.45214302,-2.316244078,-8.290049023
ZA.M22.E96,3.847009717,3.096201661,1.814316681,3.474511835,3.080752868,2.247906918,1.843582978,0.992198192,1.578128769,-1.312469104,-2.948732878,-1.193910988,1.492240943,-2.035723786,-1.321965697,-0.482922653,-1.572979929,-1.256205045,-3.38638879,-3.914675539,-4.040876152
ZA.M25.E99,3.92842997,4.389050118,3.267248169,1.485512311,4.556661503,3.792756677,-1.60680533,1.660248401,0.355135049,-1.015661524,-1.706307187,0.513571719,-0.87463816,-1.332790116,-0.966110845,-2.144405302,-0.709709475,-0.549737513,-7.14370791,-3.801694146,-2.097046409
ZA.M6.E80,3.038915524,1.186666715,2.82978652,2.503268715,0.222702727,0.228802931,1.413578885,1.076730459,1.933576708,-0.391037309,-0.445489876,-2.386984228,-0.170638819,-2.020449782,0.266665196,0.652827836,-3.495705497,-3.453951161,-0.55432822,-1.568947779,-0.865989544
ZB.H1.E26,3.385404901,2.484200897,1.788070885,1.409474658,2.868450239,1.170589288,0.479425087,-0.54882126,-1.245480596,-2.915639085,-0.146887693,2.01982326,-2.528960052,1.678018648,0.930787164,-0.127637787,-1.206093252,-1.067200091,-6.250801661,1.943382008,-4.120105558
ZB.H10.E35,3.518660919,3.1841748,0.349376414,2.228941407,2.256910864,1.81390786,-0.456246989,-1.396986283,0.646737385,0.995439903,-2.626758773,-1.671909146,-1.372367857,0.447501373,0.385011189,-0.732998278,-1.000436252,-1.258180826,-2.485121685,-1.245343901,-1.580312125
ZB.H11.E36,4.309091077,3.003908657,2.871586522,2.969625065,2.692416378,3.133931623,-1.582928352,0.542816522,1.867210376,-0.276110683,-0.597948107,-4.294421862,-1.653098017,-0.103087126,-4.724321822,-0.733158996,-2.176501082,-1.75407038,0.193925953,-2.263667748,-1.425197997
ZB.H12.E37,4.273394342,3.512409343,3.009529678,3.990056381,1.964369302,1.88062731,1.175031707,0.857922022,1.7863381,-0.464686514,-0.331350207,-2.180262017,0.382057165,-0.106820056,-1.476926599,0.278047339,-9.393956158,-4.709541645,-2.059740007,-1.330591141,-1.055908343
ZB.H13.E38,4.560605574,3.633119471,2.559373168,3.957966323,1.538386967,3.103653959,0.521572101,1.026828417,2.238531461,-2.745963857,-0.543609006,-1.093768028,0.954272033,-2.602600532,-2.274883028,-0.40744143,-4.199931982,-4.50035596,-1.824077485,-0.049845699,-3.851832467
ZB.H14.E39,4.81663433,4.246852661,2.812203176,2.031597504,3.269576531,2.883253574,2.956876811,-0.313412065,1.437789037,0.676546155,0.624586269,-1.946663836,-3.402342616,2.125825339,0.909017481,-8.268845917,-4.464688451,-0.660779958,0.787857736,-5.824376181,-4.697507579
ZB.H15.E40,3.571189513,3.201764936,1.398926028,2.460454792,2.114137922,1.529050559,-0.243837941,0.039163334,0.644049547,-1.089215678,-0.391595851,-0.516852155,-2.398055825,0.574208985,-0.640024745,-1.189222813,-0.640512815,-3.551967466,-1.895231837,-0.672215443,-2.304213049
ZB.H16.E41,3.898779352,2.159191743,2.427574768,2.944325069,0.575363231,0.053037538,0.641764808,0.192549867,0.879732309,0.205028082,-0.527088215,-0.301243324,-1.689330139,-0.883569073,-1.782627428,-0.053023414,-1.806360676,-2.077745678,-1.604452462,-0.187470098,-3.06443626
ZB.H17.E42,3.155801292,2.694393161,2.486273312,2.60548106,1.561626954,0.854877977,0.530558752,0.565377441,1.490946371,1.393395005,-1.104443315,-0.14063211,-0.021141612,-0.663874297,-2.127277893,1.047095233,-4.056061799,-5.843540364,-0.73962583,-0.813538317,-2.875691021
ZB.H18.E43,4.655252561,3.578580374,4.083352834,3.061417476,2.806309873,2.377009387,0.73636295,-0.158372396,1.592480389,-0.99300808,-1.573973354,-7.598551396,1.610921518,-0.798998831,1.860869481,-1.651425819,-2.084645132,-0.830321669,-5.200456245,-5.419628403,-0.053175519
ZB.H2.E27,4.521723436,1.994341169,2.808057265,2.851497953,3.31294154,3.193360647,0.322675267,2.033330339,1.729427614,-3.507520508,-0.841459332,2.220110641,-2.396469101,0.619240585,-0.18973126,0.572967528,-2.134796406,-4.613574423,-6.145938474,-2.195798903,-4.154385576
ZB.H20.E45,4.867244091,1.899640286,2.093431122,3.007954407,1.134455774,2.428230586,0.969167683,-0.218518671,0.892544663,1.100375152,-2.353820464,0.229227393,-0.583832134,-6.468309102,0.88993776,-0.916946084,-1.633827644,-4.757446337,-0.022580419,1.648667403,-4.205595466
ZB.H21.E46,3.797137353,2.999294289,1.862465736,3.100358609,2.249189024,2.405153269,1.294160501,1.521097997,1.061736598,-0.592171051,2.234554112,-1.123239998,-0.579996679,-0.958318281,-0.530061086,-0.905144913,-1.081227492,-0.179164687,-3.032919754,-10.0470983,-3.495805245
ZB.H3.E28,3.099857644,-2.860012375,2.354276147,3.522215,-2.447053744,3.570028367,1.861500373,2.92561821,0.952755547,-3.101047703,0.215712709,-10.58154178,-2.269054133,0.055587705,3.01573171,-2.708960905,4.956798064,-1.347863981,2.49460861,-5.331440238,1.622284771
ZB.H4.E29,4.211163573,2.88783573,1.498834491,1.089777636,2.629578975,1.746695209,-0.627700634,-1.655171418,-0.693242009,2.894778306,-2.951006219,-2.376264836,-1.751889495,2.442019423,-3.333805002,-0.845214607,-0.583851594,-0.337542606,-4.507551224,1.078736287,-0.816179986
ZB.H5.E30,5.229059264,4.992644883,3.33934115,4.265832276,1.267289173,2.457763996,-0.268664915,1.128962402,2.212380229,-0.804216489,1.169416354,-2.015954952,-3.046493751,-0.616910538,-2.988165615,1.695281924,-3.030768306,-6.606795861,-1.830770764,-1.807135408,-4.742095053
ZB.H6.E31,4.160728484,4.844652227,0.246926346,1.317069855,0.822229163,1.007842708,0.404968126,-0.218208165,-1.048322203,0.875873271,2.317556149,-1.793797069,-1.58491521,-0.522279814,-2.357710626,-0.568346779,0.523354752,-1.092931876,-4.886807688,-0.142728734,-2.305152918
ZB.H7.E32,3.758275221,3.210183353,2.07058372,3.914972465,2.197131079,0.454709469,1.12416438,1.607688458,2.006027797,-0.524634257,0.187256957,-2.669407176,0.030014876,-1.190133613,-3.428770204,-1.341586159,-0.740384625,-4.782890686,-0.1577965,-2.799464893,-2.925939662
ZB.H8.E33,4.949904348,4.275025371,3.938576625,4.399330066,3.123264906,3.655952292,1.968686455,0.83691012,2.520384092,-0.326090474,0.949735822,-0.649636278,1.379726984,-9.303002915,-0.413024545,0.2877626,-5.884341491,-9.10946196,-0.744163012,-4.636477474,-1.219061531
ZB.H9.E34,3.952016056,3.240315841,1.561933606,2.719168977,1.013594798,1.570521023,0.343732229,0.041756176,0.679328394,-0.098649505,-0.610810869,-0.483506634,-0.380183153,-1.859820759,-0.653782947,-0.857293089,-2.150660831,-1.532268423,-3.113267558,-2.412622231,-0.969501102
ZB.M1.E1,3.945120016,2.838977248,2.794172633,3.520384137,0.313752401,-0.193900086,-1.919457665,1.740217614,0.780339489,0.055851123,0.942454689,-1.507157942,2.049535044,-0.623272583,-3.558635496,2.33159666,-7.898691481,0.17464761,-0.899765376,-3.205519259,-1.680648777
ZB.M10.E11,5.351994551,4.292912443,3.166296471,4.194492699,1.728800307,2.000111425,1.012019971,1.165855235,1.023665299,1.151162361,-0.953709641,-1.951792702,0.554148401,-1.243692151,-1.086894629,0.60108166,-4.707988697,-11.29149505,-2.396557894,-0.190626312,-2.419783752
ZB.M12.E14,5.839746854,4.961566334,3.803303454,1.014439226,5.610995708,4.099101191,-0.247220949,2.267745054,-0.833226046,-0.039504725,-4.593008959,-8.280596179,0.226275056,-1.204862489,-4.559360962,2.240765604,1.110481168,0.398257185,-3.439597996,-1.742466592,-6.632831938
ZB.M13.E15,3.926174098,3.84268596,2.623954212,2.170066143,0.768754439,1.398922862,-0.217415925,1.551104419,1.278131439,-2.245059328,-0.866840466,-1.141238752,0.143534566,-0.85139436,-3.195611449,-1.495005813,-0.127497676,0.914987116,-1.890806018,-3.371844586,-3.21560088
ZB.M14.E16,5.137957761,3.321294639,3.052899694,4.886373909,2.228392855,2.781424981,2.452374897,1.362824638,0.520801292,-2.533553577,-0.506953595,-6.103242354,-2.609967407,-2.521090285,-3.071471341,-2.012084846,0.513790377,-1.196053845,-6.474002283,2.565429373,-1.795144883
ZB.M16.E18,5.420129167,2.681786964,3.355347375,4.610311509,2.76190846,2.565556704,-3.204163459,1.529722944,2.514653665,-1.73458753,-4.479587744,-2.508876785,-0.728316844,-2.510407655,1.085789646,0.754458811,1.198474202,-6.013174441,-6.135260617,-1.942076104,0.778311732
ZB.M17.E19,4.043527771,2.855710261,1.090245388,1.371080115,1.47525627,1.624906865,0.46433157,0.314435596,-2.056596577,0.364659748,-4.189933685,0.561805447,-2.727609343,1.020106158,-0.505244503,-1.192546827,-0.346179052,1.26413163,-2.528409025,0.50893605,-3.412613858
ZB.M18.E20,3.812318442,2.832814226,2.890075446,2.523267814,0.48988108,2.776610684,0.271408264,0.486134093,-0.031022472,-0.685242933,-1.562837896,-1.18547759,-0.814405705,2.10467098,-1.213333643,-2.542114011,-3.370236997,-1.061338682,-2.797992334,-0.999411698,-1.923767066
ZB.M19.E21,3.542007618,3.954413856,2.651016406,3.677522824,2.250354295,1.597785538,0.890728602,2.277699562,2.514805754,-1.490562417,-2.427473993,-1.054695341,-0.182548093,-2.145567159,-5.00820435,-2.885551237,-2.069974891,-0.827968946,-1.011857075,-2.08295242,-2.168978535
ZB.M2.E2,4.369964481,3.086994553,4.027039775,2.973442972,-1.286036252,1.045175978,0.504953575,1.687965375,0.315809984,-2.576198859,-2.581734261,-1.54065297,-0.453087259,-3.059044651,-1.046498875,-5.763824557,1.015898904,-1.149732884,1.281065618,-0.743723568,-0.107777078
ZB.M20.E22,4.154325494,2.106127849,1.943884595,2.091093915,2.755243278,2.384344987,-1.887332397,0.777620901,-0.998916553,-1.861439811,-1.141020366,0.574843876,-1.804598129,0.812957456,-0.954405126,-0.632457645,-0.160098689,0.572389197,-3.433638008,-0.065645695,-5.233279132
ZB.M21.E23,3.391798138,2.301615521,1.921294176,4.183505919,0.009582309,0.109104296,1.425705411,-0.824763093,0.068222929,-2.853110776,1.878262603,0.362079226,-0.491190901,-0.13458043,-0.416476754,1.162974359,-6.08178912,-4.71069058,-0.51961785,-1.172289315,0.390363929
ZB.M22.E24,5.126619607,2.110567225,2.442620057,1.613950004,2.120627117,2.057162962,1.478011047,-0.535127708,0.628799491,1.609211705,-1.55412605,2.35476841,-1.865575731,0.947143499,-0.456413487,-1.157124706,-4.55458046,-3.605967837,-9.62205562,4.104834824,-3.243344348
ZB.M4.E4,6.00864132,2.953533607,-0.851443767,5.054211857,2.095277523,0.40082918,3.057919265,-2.371758879,-0.463123791,0.972051227,-2.048650963,-0.691257874,-3.153398064,-1.349158072,2.406773934,-0.239491085,-1.943065626,0.754283514,0.188622209,-3.356938402,-7.423857115
ZB.M6.E6,4.818900311,2.953879662,3.21298061,-2.00565268,4.345922362,1.878917078,0.045071224,2.684671334,-0.061473766,-1.192354644,0.582471942,0.325344124,-6.118615647,3.096409536,-4.334497854,-4.308615242,0.942073134,2.133585338,-4.248915212,-2.298343615,-2.451757996
ZB.M7.E7,5.457231959,3.263919576,1.83973496,3.586400269,1.635560086,1.211458759,2.229592878,1.066905199,-0.654591985,-0.328099637,2.320699819,0.501287601,-0.440735284,-0.751138087,0.092501433,-0.790095022,-9.064866691,-1.330134081,0.189344882,-0.735034212,-9.299942423
ZB.M8.E8,4.614224101,3.729764991,1.596884712,3.892608036,2.464794184,2.448991213,1.398961981,1.645614797,1.846576965,-2.432846231,0.091628686,-2.982816098,-2.56632045,-5.103639511,-4.459296052,-1.124453251,-1.467917179,-0.253584773,-1.304586128,-0.39017469,-1.644415302
ZB.M9.E10,3.485520426,1.618211042,2.532787957,4.333150955,1.348590425,0.383072577,0.28084282,-0.085972651,-0.3075408,1.405291104,2.122015721,0.952036335,-7.051331072,-1.234418299,-0.190432275,-0.08431247,-0.882418112,-3.249913746,-5.138946762,2.113389037,-2.349622213
